CourseCode,Department,Content-to-ILO,ILO-to-Content,# Chunks,# Outcomes,Year,Credits,Content Length
SVE013,320,0.7334,0.7615,5,6,2022,7.5,68
SV013F,320,0.85,0.7507,3,9,2023,7.5,81
RHA208,103,0.6715,0.7672,4,4,2021,7.5,76
JU37FF,220,0.6778,0.7282,5,3,2022,15.0,118
GG4212,464,0.6973,0.7933,7,6,2019,7.5,47
ES7203,165,0.679,0.7381,4,4,2020,7.5,70
PSPR08,308,0.838,0.825,4,5,2021,7.5,58
AKA119,312,0.8101,0.7391,3,5,2024,15.0,57
JO1077,120,0.7367,0.7501,7,7,2023,30.0,106
JU385A,220,0.7353,0.678,3,8,2023,15.0,64
SLTX71,158,0.649,0.5773,3,10,2017,15.0,70
HVDRF4,130,0.8128,0.7647,2,3,2022,7.5,45
JUL103,220,0.6924,0.747,7,4,2019,2.5,103
SU7218,314,0.8354,0.7876,1,3,2022,7.5,43
AT2045,328,0.5941,0.6305,4,3,2019,7.5,91
FE3337,302,0.7869,0.7445,4,5,2020,7.5,162
IB316C,323,0.6813,0.714,3,1,2019,7.5,37
BL7036,460,0.8258,0.5953,1,7,2012,5.0,34
KZ8022,434,0.6574,0.6662,7,9,2022,7.5,139
MM7041,403,0.5562,0.536,1,3,2021,7.5,17
FE5125,302,0.5955,0.5946,4,3,2019,7.5,75
MK7034,120,0.675,0.7212,5,2,2023,7.5,117
BK20II,318,0.8256,0.6276,3,2,2019,7.5,79
KG7243,304,0.6548,0.6287,2,2,2020,15.0,27
FV1027,120,0.6296,0.767,5,3,2019,15.0,66
LAS107,165,0.6766,0.8014,9,3,2022,7.5,147
FILOCS,102,0.7286,0.6881,8,9,2017,7.5,115
FR1GRA,165,0.6626,0.7198,5,6,2021,7.5,91
ATS150,328,0.6359,0.6915,4,2,2019,7.5,89
FK7068,402,0.6209,0.8001,9,8,2019,7.5,108
UM5102,130,0.6738,0.6741,6,6,2019,7.5,76
ML476N,323,0.7132,0.6162,1,3,2022,7.5,65
TYA106,158,0.6727,0.7745,16,4,2023,7.5,329
UM3005,130,0.6805,0.717,4,3,2019,7.5,14
IH5233,106,0.6955,0.7457,3,3,2021,7.5,40
UQG010,317,0.8189,0.8392,4,3,2023,7.5,58
NU3002,474,0.7422,0.7757,5,4,2021,7.5,84
ML304C,323,0.7458,0.7723,4,6,2023,7.5,44
IB493C,323,0.5653,0.5155,4,4,2023,7.5,58
US169F,130,0.8344,0.8723,4,3,2022,7.5,108
USVF2Ä,130,0.6718,0.6382,4,7,2020,7.5,50
FK5031,402,0.6491,0.6997,10,10,2017,7.5,98
UE2087,318,0.7159,0.8047,5,3,2018,7.5,77
SUKSO3,314,0.6229,0.6568,4,5,2022,15.0,59
JKB921,172,0.7172,0.8156,4,5,2023,7.5,82
LA7102,165,0.7254,0.6882,5,3,2021,7.5,143
FE5242,302,0.7794,0.6868,3,7,2021,7.5,52
FE4433,302,0.57,0.7085,4,3,2021,7.5,70
KB8023,431,0.8122,0.6272,1,3,2019,7.5,28
UB127F,318,0.7965,0.7879,4,4,2022,7.5,59
EC2311,305,0.6961,0.7615,5,3,2023,7.5,98
US535F,130,0.9011,0.8916,3,3,2019,7.5,45
PSMT49,308,0.7705,0.7473,4,5,2021,7.5,81
BL2034,460,0.6859,0.5851,2,4,2021,5.0,38
JU921A,220,0.7654,0.6811,3,6,2019,15.0,78
KB7017,431,0.6982,0.5076,1,6,2019,7.5,14
GE1013,463,0.7293,0.5259,2,3,2019,7.5,24
ML250N,323,0.5008,0.4623,3,7,2019,15.0,80
KBC301,431,0.7547,0.7255,3,3,2021,7.5,59
GE7083,463,0.816,0.804,4,5,2020,15.0,75
UM2032,130,0.8095,0.803,3,4,2023,7.5,78
ST200G,311,0.5433,0.6679,16,5,2014,30.0,162
FR760Z,165,0.5794,0.622,3,3,2020,7.5,49
GE4029,463,0.7863,0.7893,6,6,2018,10.0,129
IB445C,323,0.7539,0.5521,1,8,2017,7.5,59
LIN600,153,0.7128,0.6593,6,9,2016,30.0,161
BL7070,460,0.8287,0.8099,3,3,2023,7.5,64
PSPR15,308,0.7641,0.7161,4,5,2021,7.5,82
ML434C,323,0.4859,0.6781,8,5,2016,7.5,62
UB20MP,318,0.7517,0.7536,4,2,2018,7.5,58
BAL325,158,0.782,0.7451,4,3,2020,7.5,82
UQ433F,317,0.7878,0.8124,5,5,2022,7.5,69
TYA709,158,0.7912,0.7598,3,3,2020,7.5,49
FK7053,402,0.5323,0.7178,10,4,2019,7.5,64
UM8017,130,0.8375,0.7874,2,4,2015,5.0,59
EC7810,305,0.8369,0.8061,2,2,2019,7.5,47
SLPSS8,158,0.707,0.7176,2,5,2012,7.5,25
SVS001,320,0.7232,0.7515,22,8,2017,30.0,370
FV7192,120,0.7087,0.7083,3,4,2021,30.0,65
KSB904,165,0.7067,0.7385,4,6,2015,7.5,52
MI4004,485,0.7104,0.8032,9,3,2020,7.5,64
FE5359,302,0.7666,0.7591,7,6,2023,7.5,130
KO7009,434,0.7838,0.7709,4,5,2015,15.0,66
US72EF,130,0.7504,0.8783,5,3,2023,7.5,90
MM5013,403,0.6427,0.5826,1,3,2019,7.5,28
PSMT41,308,0.6933,0.7318,3,4,2019,7.5,54
MO8012,404,0.5847,0.7238,15,3,2017,7.5,128
JUU048,220,0.7612,0.7736,5,7,2017,10.5,74
HI1355,104,0.6518,0.6102,7,2,2022,7.5,128
PSSP04,308,0.6155,0.6239,6,7,2021,7.5,134
BL7057,460,0.5215,0.8264,10,4,2020,15.0,138
JUL106,220,0.6924,0.747,7,4,2019,2.5,103
NS7087,154,0.3188,0.3425,4,3,2023,7.5,57
SVE012,320,0.8885,0.8671,3,6,2022,7.5,44
LIT004,153,0.8014,0.79,3,3,2021,7.5,39
AKA135,312,0.858,0.8879,5,4,2023,7.5,92
SU1031,314,0.9243,0.9012,4,5,2019,7.5,59
UM2100,130,0.8421,0.8348,2,3,2023,7.5,54
FE6607,302,0.5906,0.7081,15,6,2016,7.5,320
HVVF3K,130,0.692,0.7005,5,9,2019,15.0,65
GE1008,463,0.6772,0.6434,2,2,2019,7.5,34
KV1285,106,0.8038,0.8747,8,2,2020,7.5,157
ST744A,311,0.7041,0.7262,6,4,2016,7.5,77
MM5023,403,0.6856,0.6504,1,3,2019,7.5,23
FE3127,302,0.6688,0.6765,4,6,2021,7.5,128
JU259F,220,0.7962,0.8277,4,5,2022,3.5,107
FE5237,302,0.7056,0.7157,8,5,2017,7.5,160
HV2RAN,130,0.7347,0.8176,12,4,2022,7.5,147
TTA615,154,0.7789,0.7952,7,6,2023,7.5,122
HV07DF,130,0.7903,0.7724,4,4,2019,7.5,84
GG4213,464,0.6975,0.7323,9,7,2019,7.5,47
UB36UU,318,0.8591,0.7767,4,3,2019,7.5,82
ABMGF4,172,0.8344,0.8144,1,2,2023,7.5,62
IB410N,323,0.5897,0.6651,14,8,2020,22.5,245
PH04G0,333,0.8814,0.8671,4,5,2022,7.5,74
KZ4012,434,0.7453,0.7377,3,5,2017,5.0,71
GG4072,464,0.7249,0.832,5,4,2023,7.5,40
MI4014,485,0.7266,0.8342,4,5,2020,7.5,52
FK7069,402,0.4747,0.5838,17,5,2023,7.5,90
ST123G,311,0.6708,0.7587,16,6,2014,15.0,167
JU681F,220,0.6734,0.7714,5,3,2023,7.5,77
JO7021,120,0.8543,0.8977,2,1,2017,7.5,32
UB54UU,318,0.7667,0.7637,4,8,2022,6.0,60
MO7014,404,0.6147,0.7752,9,4,2010,15.0,100
IB149N,323,0.6538,0.6063,2,3,2020,7.5,34
KG1301,304,0.6791,0.7355,6,4,2020,7.5,57
LID749,153,0.7786,0.5739,1,5,2022,15.0,19
FS1806,120,0.8617,0.736,2,3,2022,7.5,43
GG5125,464,0.7992,0.845,3,1,2019,7.5,54
HV05KS,130,0.7695,0.7387,6,6,2020,15.0,129
NS7075,154,0.3564,0.4679,10,3,2023,7.5,102
HI8082,104,0.6466,0.6679,5,3,2021,7.5,114
PEG102,306,0.7776,0.69,2,4,2021,7.5,26
GE2024,463,0.7488,0.6314,3,4,2022,7.5,40
MO8013,404,0.5355,0.8601,7,2,2017,7.5,36
FE4429,302,0.6537,0.6528,6,5,2019,7.5,104
ENLIN3,150,0.5795,0.4884,2,5,2023,30.0,33
ETA805,103,0.5217,0.5163,3,3,2020,7.5,37
SV7065,320,0.7043,0.8039,3,6,2019,7.5,69
HI9015,104,0.695,0.6768,4,10,2019,15.0,68
GG4044,464,0.8946,0.8946,1,1,2022,1.5,21
JU675B,220,0.8189,0.751,5,7,2021,15.0,122
NS1125,154,0.738,0.7941,3,3,2021,7.5,73
JO7020,120,0.5767,0.8282,3,4,2017,7.5,31
LVL18U,106,0.7242,0.8703,3,3,2019,7.5,57
UB105M,318,0.7838,0.7442,3,5,2020,7.5,54
SV8006,320,0.6591,0.7737,7,4,2019,7.5,166
IH1285,106,0.7401,0.7447,8,9,2023,15.0,106
KN8002,431,0.6476,0.6519,8,6,2010,15.0,124
UQ531F,317,0.8665,0.7261,2,8,2019,15.0,113
SLTJ2A,158,0.7142,0.7208,11,10,2022,15.0,157
IH5214,106,0.829,0.7192,3,3,2021,7.5,90
KV5320,106,0.6802,0.7173,3,3,2018,7.5,58
MT5002,403,0.6931,0.6272,1,3,2019,7.5,21
PR2550,302,0.8353,0.7879,6,6,2023,7.5,131
MT5016,403,0.6308,0.6933,4,5,2023,7.5,63
ABMGF3,172,0.849,0.8162,3,4,2023,7.5,58
JU922B,220,0.7229,0.642,3,6,2023,15.0,78
JKB553,172,0.7358,0.6813,9,6,2022,22.5,142
LIF739,153,0.789,0.5566,1,5,2014,15.0,19
LVAN57,106,0.8229,0.854,3,2,2021,7.5,56
LIN441,153,0.6993,0.6447,2,2,2023,7.5,34
FR1KSA,165,0.7136,0.7133,3,4,2021,7.5,47
SA6002,309,0.553,0.7692,11,5,2023,30.0,187
ES3310,165,0.6905,0.7085,5,5,2023,7.5,95
AN1215,108,0.8653,0.8275,3,4,2013,15.0,123
PH05G0,333,0.7387,0.7857,4,4,2023,7.5,60
CT8040,154,0.798,0.821,6,3,2022,7.5,103
PSPR47,308,0.6203,0.5943,5,4,2021,7.5,91
BL2033,460,0.6625,0.7146,7,4,2022,15.0,87
UC230F,306,0.6917,0.7603,6,5,2019,7.5,87
KG7207,304,0.7572,0.7672,6,5,2019,15.0,97
ENGE3S,150,0.5963,0.5901,9,7,2020,15.0,120
AS7003,401,0.6573,0.5452,3,7,2019,7.5,43
SLKTT8,158,0.7288,0.7551,4,4,2020,7.5,77
MK3057,120,0.8025,0.6971,3,3,2022,7.5,64
HI8108,104,0.6993,0.6057,4,3,2019,7.5,48
LV1011,106,0.7944,0.8676,3,1,2008,7.5,92
IB574C,323,0.824,0.7577,1,5,2019,7.5,30
ENEL75,150,0.6902,0.6655,4,5,2021,7.5,68
MVARFO,106,0.8944,0.8294,1,2,2018,7.5,22
UM3013,130,0.8156,0.8283,3,4,2023,7.5,90
KSANG2,165,0.7276,0.6131,3,5,2018,7.5,65
CT7153,154,0.7854,0.6868,3,4,2023,7.5,80
JO7036,120,0.7491,0.7681,5,3,2022,7.5,131
UC478U,306,0.8617,0.7894,5,8,2023,7.5,115
JU889L,220,0.6702,0.7286,8,6,2022,12.0,164
LIT320,153,0.7982,0.7515,9,7,2021,15.0,140
JKA443,172,0.7684,0.6936,8,10,2023,22.5,180
HVVFUU,130,0.6392,0.632,3,9,2018,15.0,42
KSA992,165,0.6156,0.7522,4,6,2019,7.5,82
SV7054,320,0.7299,0.7481,3,6,2019,15.0,71
PR4526,302,0.7499,0.8278,5,5,2023,7.5,67
SV012F,320,0.8123,0.7351,3,4,2023,12.0,49
GE8034,463,0.7605,0.8272,5,4,2021,15.0,85
ENG2F3,150,0.729,0.7392,6,6,2018,7.5,149
FK7046,402,0.7512,0.6834,2,4,2019,7.5,35
KSB704,165,0.7342,0.7329,3,5,2020,7.5,61
ABMGF7,172,0.7363,0.8613,5,2,2022,7.5,51
UB40UU,318,0.8509,0.8384,11,8,2022,11.5,248
HVEDAN,130,0.8169,0.7666,3,3,2019,7.5,70
FE3428,302,0.6885,0.7235,9,5,2022,7.5,102
MM7024,403,0.4457,0.5109,6,4,2019,7.5,41
UB129F,318,0.7205,0.7505,4,5,2022,15.0,37
PH01A0,333,0.7427,0.7598,4,7,2021,7.5,51
KN7003,431,0.5902,0.6939,4,4,2007,15.0,69
FE5825,302,0.6473,0.6472,6,6,2022,7.5,53
FAB611,158,0.7604,0.8116,17,9,2022,15.0,262
ST2101,311,0.6455,0.659,13,10,2023,15.0,251
NU3001,474,0.6273,0.6741,6,2,2021,7.5,88
LIN622,153,0.6661,0.6138,2,5,2022,15.0,35
PEA472,306,0.8978,0.855,2,3,2019,7.5,49
ARL930,108,0.5434,0.6089,4,1,2015,30.0,68
IH5226,106,0.7155,0.6806,6,4,2017,7.5,105
HVK1GN,130,0.8067,0.9023,5,3,2021,7.5,102
KG7238,304,0.5213,0.5609,2,4,2018,15.0,18
KZ8011,434,0.7211,0.791,7,5,2015,7.5,140
UCSY08,306,0.7855,0.7923,4,3,2021,7.5,95
KZ8015,434,0.6574,0.6662,7,9,2021,7.5,139
DA7059,403,0.4339,0.6436,8,3,2021,18.0,80
PSMT45,308,0.6768,0.7434,4,1,2017,7.5,68
ENSO75,150,0.7348,0.7205,2,5,2022,7.5,44
TTA106,154,0.6487,0.6756,6,3,2023,7.5,108
JKB924,172,0.7435,0.7481,5,3,2020,7.5,78
NS0004,154,0.5537,0.6622,4,2,2018,9.0,100
SU7227,314,0.8691,0.8594,4,3,2022,7.5,49
JKA932,172,0.8428,0.8184,2,3,2021,7.5,49
GG7033,464,0.6588,0.6923,8,8,2023,7.5,108
PSPR19,308,0.7582,0.7556,5,5,2021,7.5,109
PEG105,306,0.8413,0.8155,2,3,2020,7.5,33
LIN343,153,0.4488,0.5294,4,4,2019,7.5,69
ML435C,323,0.7664,0.5932,1,4,2016,15.0,34
MO8004,404,0.4425,0.6337,6,2,2016,7.5,33
IT780Z,165,0.6659,0.6879,4,6,2014,15.0,43
PO3301,165,0.6107,0.6568,3,2,2023,7.5,61
UB702Y,318,0.6898,0.7279,4,4,2018,15.0,53
PSPR33,308,0.7252,0.6289,2,4,2021,7.5,33
BL7056,460,0.7272,0.7292,5,6,2019,7.5,77
DA4004,403,0.6893,0.7935,7,6,2023,7.5,76
PSMT57,308,0.711,0.8559,3,2,2021,7.5,71
TYA703,158,0.654,0.6778,3,3,2022,7.5,44
BL5003,460,0.7346,0.7093,3,3,2007,7.5,53
SOD241,310,0.5673,0.6683,8,6,2020,15.0,119
SLRIOI,158,0.7687,0.8032,6,5,2019,7.5,80
AR3002,108,0.7584,0.7384,6,5,2022,30.0,110
UCG111,306,0.7457,0.7052,6,8,2020,15.0,104
AN4207,108,0.827,0.638,2,4,2012,15.0,82
SLKPS1,158,0.635,0.7521,17,2,2021,30.0,386
HA11FF,220,0.66,0.6911,6,7,2023,15.0,110
FILD10,102,0.7556,0.7035,8,9,2022,7.5,115
KG2311,304,0.7891,0.8588,3,1,2021,7.5,57
SO7101,310,0.7719,0.7591,4,7,2020,7.5,58
ENDA75,150,0.6947,0.6848,3,3,2013,7.5,75
IT744Z,165,0.7634,0.7278,2,4,2020,7.5,33
UQ426F,317,0.804,0.7986,4,4,2014,7.5,62
UM4045,130,0.8636,0.8239,4,6,2021,7.5,74
IB146N,323,0.7866,0.7901,5,5,2020,7.5,88
NS1073,154,0.755,0.8105,7,4,2019,7.5,84
NS0005,154,0.5648,0.7108,7,2,2018,9.0,151
ML482N,323,0.815,0.8258,3,3,2020,7.5,64
KV5004,106,0.6721,0.6125,3,5,2019,45.0,47
BL5013,460,0.6722,0.6409,3,4,2023,15.0,66
UMT702,130,0.7457,0.8234,4,7,2022,15.0,78
JO1369,120,0.7735,0.7934,13,9,2023,30.0,259
FK7059,402,0.6909,0.787,5,3,2019,15.0,68
SUKR03,314,0.7205,0.6986,9,9,2023,7.5,185
FK7051,402,0.5346,0.6634,7,3,2019,7.5,39
UB30MP,318,0.732,0.8238,5,3,2017,7.5,62
BL2031,460,0.6625,0.7146,7,4,2022,15.0,87
SV7085,320,0.8042,0.8131,8,6,2019,7.5,169
ML272N,323,0.7005,0.7683,5,4,2022,7.5,85
